,Mese,Giorno,TMinima,TMassima,TMedia,Umidita,Fenomeni,Condizioni
322,Novembre,19,10 °C,8 °C,13 °C,83 %,Nebbia ,Nubi sparse
323,Novembre,20,9 °C,8 °C,10 °C,92 %,Pioggia - Nebbia ,Nubi sparse
324,Novembre,21,8 °C,5 °C,10 °C,88 %,Pioggia - Nebbia ,Nebbia al mattino
325,Novembre,22,6 °C,3 °C,10 °C,79 %,Nessuno,Poco nuvoloso
326,Novembre,23,6 °C,4 °C,9 °C,78 %,Pioggia ,Nubi sparse
327,Novembre,24,6 °C,3 °C,11 °C,65 %,Nessuno,Poco nuvoloso
328,Novembre,25,4 °C,0 °C,6 °C,81 %,Nessuno,Poco nuvoloso
329,Novembre,26,5 °C,3 °C,8 °C,77 %,Nessuno,Nubi sparse
330,Novembre,27,5 °C,1 °C,12 °C,62 %,Nessuno,Sereno
331,Novembre,28,2 °C,-2 °C,7 °C,82 %,Nessuno,Nubi sparse
332,Novembre,29,3 °C,-1 °C,9 °C,76 %,Nessuno,Poco nuvoloso
333,Novembre,30,3 °C,-2 °C,9 °C,83 %,Nessuno,Poco nuvoloso
334,Dicembre,1,4 °C,0 °C,10 °C,84 %,Nessuno,Poco nuvoloso
335,Dicembre,2,6 °C,1 °C,13 °C,84 %,Nebbia ,Poco nuvoloso
336,Dicembre,3,8 °C,3 °C,12 °C,82 %,Nebbia ,Nubi sparse
337,Dicembre,4,8 °C,6 °C,10 °C,86 %,Nessuno,Nubi sparse
338,Dicembre,5,8 °C,3 °C,12 °C,80 %,Nebbia ,Nubi sparse
339,Dicembre,6,4 °C,1 °C,7 °C,90 %,Nebbia ,Nebbia al mattino
340,Dicembre,7,5 °C,3 °C,8 °C,91 %,Nebbia ,Nebbia
341,Dicembre,8,4 °C,1 °C,10 °C,85 %,Nebbia ,Nebbia al mattino
342,Dicembre,9,4 °C,-3 °C,10 °C,83 %,Nebbia ,Nebbia al mattino
343,Dicembre,10,6 °C,1 °C,12 °C,72 %,Nebbia ,Nebbia
344,Dicembre,11,2 °C,-1 °C,7 °C,75 %,Nessuno,Poco nuvoloso
345,Dicembre,12,1 °C,-4 °C,8 °C,78 %,Nessuno,Poco nuvoloso
346,Dicembre,13,1 °C,-4 °C,7 °C,81 %,Nessuno,Poco nuvoloso
347,Dicembre,14,5 °C,1 °C,12 °C,73 %,Nessuno,Poco nuvoloso
348,Dicembre,15,4 °C,0 °C,10 °C,83 %,Nessuno,Nubi sparse
349,Dicembre,16,5 °C,1 °C,11 °C,73 %,Nessuno,Nubi sparse
350,Dicembre,17,6 °C,2 °C,13 °C,75 %,Nessuno,Poco nuvoloso
351,Dicembre,18,4 °C,-1 °C,12 °C,83 %,Nessuno,Poco nuvoloso
352,Dicembre,19,4 °C,-1 °C,12 °C,81 %,Nessuno,Poco nuvoloso
353,Dicembre,20,4 °C,-1 °C,12 °C,83 %,Nebbia ,Poco nuvoloso
354,Dicembre,21,7 °C,5 °C,9 °C,87 %,Nebbia ,Nebbia
355,Dicembre,22,5 °C,2 °C,8 °C,92 %,Nebbia ,Nebbia
356,Dicembre,23,5 °C,3 °C,7 °C,87 %,Nebbia ,Nebbia
357,Dicembre,24,5 °C,2 °C,9 °C,80 %,Nebbia ,Nebbia
358,Dicembre,25,2 °C,-1 °C,9 °C,85 %,Nebbia ,Nebbia
359,Dicembre,26,1 °C,-1 °C,4 °C,93 %,Nebbia ,Nebbia
360,Dicembre,27,0 °C,-1 °C,2 °C,91 %,Nebbia ,Nebbia
361,Dicembre,28,0 °C,-1 °C,1 °C,91 %,Nebbia ,Nebbia
362,Dicembre,29,0 °C,-2 °C,4 °C,88 %,Nebbia ,Nebbia
363,Dicembre,30,5 °C,-2 °C,10 °C,63 %,Nebbia ,Poco nuvoloso
364,Dicembre,31,2 °C,-1 °C,5 °C,68 %,Nessuno,Poco nuvoloso
